inc_id,inc_off_count,inc_coh_homophily_ratio
UF17-494,3,0.66666669
UF17-495,2,0
UF17-496,2,0
UF17-497,2,0
UF17-498,2,0
UF17-499,3,0
UF17-501,2,0
UF17-502,2,0
UF17-503,2,0
UF17-505,2,0
UF17-506,3,0
UF17-508,2,0
UF17-509,5,0
UF17-512,3,0.66666669
UF17-513,2,0
UF17-515,2,0
UF17-516,2,0
UF17-518,2,0
UF17-520,4,0
UF17-521,3,0
UF17-522,2,0
UF17-523,3,0
UF17-524,2,1
UF17-525,2,0
UF17-526,2,0
UF17-527,2,0
UF17-528,2,0
UF17-530,4,0
UF17-531,3,0
UF17-533,2,0
UF17-535,5,0.40000001
UF17-536,2,0
UF17-540,2,1
UF17-546,2,0
UF17-547,2,0
UF17-548,3,0.66666669
UF17-549,2,0
UF17-550,2,0
UF17-551,6,0
UF17-552,2,0
UF17-554,2,0
UF17-556,2,0
UF17-558,2,0
UF17-560,2,0
UF17-561,2,0
UF17-562,3,0
UF17-563,3,0.66666669
UF17-564,2,0
UF17-565,6,0
UF17-566,3,0
UF17-567,2,0
UF17-569,2,0
UF17-570,3,0
UF17-571,4,0.5
UF17-573,6,0
UF17-574,2,0
UF17-575,2,1
UF17-576,2,0
UF17-577,2,0
UF17-578,2,0
UF17-580,2,0
UF17-581,2,0
UF17-583,2,0
UF17-584,2,0
UF17-586,2,0
UF17-587,4,0.5
UF17-588,3,0
UF17-589,2,0
UF17-592,4,0
UF17-593,6,0.66666669
UF17-595,2,0
UF17-599,2,0
UF17-601,6,0
UF17-602,3,0
UF17-603,6,0.33333334
UF17-604,3,0.66666669
UF17-606,4,0
UF17-607,4,0
UF17-608,3,0
UF17-609,3,0.66666669
UF17-610,2,0
UF17-611,2,0
UF17-612,2,0
UF17-615,5,0.40000001
UF17-618,2,1
UF17-619,2,0
UF17-621,3,0.66666669
UF17-622,2,0
UF17-623,6,0
UF17-624,3,0
UF17-625,2,0
UF17-627,4,0
UF17-628,4,0
UF17-629,2,0
UF17-630,2,1
UF17-634,2,0
UF17-635,11,0.45454547
UF17-637,4,0
UF17-638,2,0
UF17-640,3,0.66666669
UF17-641,4,0.5
UF17-643,2,0
UF17-646,2,0
UF17-647,2,0
UF17-648,2,0
UF17-649,3,0
UF17-652,2,0
UF17-654,3,0
UF17-655,2,0
UF17-657,2,0
UF17-658,2,0
UF17-660,3,0
UF17-662,2,1
UF17-663,3,0
UF17-666,3,0
UF17-667,2,0
UF17-671,3,0
UF17-672,2,1
UF17-675,2,0
UF17-677,3,0
UF17-679,2,0
UF17-681,2,0
UF17-682,2,0
UF17-683,2,0
UF17-684,2,0
UF17-685,3,0.66666669
UF17-686,2,0
UF17-687,2,1
UF17-690,2,0
UF17-691,3,0
UF17-693,3,0
UF17-694,2,1
UF17-695,2,1
UF17-697,3,0
UF17-698,2,0
UF17-701,2,0
UF17-702,2,0
UF17-705,3,0.66666669
UF17-706,5,0.40000001
UF17-707,2,0
UF17-708,2,0
UF17-709,2,0
UF17-710,3,0.66666669
UF17-711,6,0.83333331
UF17-712,2,0
UF17-713,2,0
UF17-714,3,0
UF17-715,3,0.66666669
UF17-716,2,1
UF17-718,4,0
UF17-719,3,0
UF17-721,4,0
UF17-728,4,0.5
UF17-729,3,0.66666669
UF17-731,2,0
UF17-734,2,0
UF17-736,4,0
UF17-738,3,0
