off_id,off_gender,off_race,off_age,off_yos,off_cohort,off_uof_count
2663,Male,Hispanic,53,9,109th,5
2670,Male,White,35,10,109th,10
2671,Male,Hispanic,40,10,109th,2
2680,Male,Hispanic,44,10,8th - Lateral,5
2681,Male,Hispanic,44,10,8th Lateral Class,4
2685,Male,Hispanic,41,10,110th,2
2688,Male,White,35,9,110th,1
2691,Male,White,34,9,110th,7
2698,Male,Hispanic,43,9,110th,2
2699,Female,Hispanic,35,10,110th,2
2700,Male,Hispanic,35,9,110th,2
2702,Male,Hispanic,45,10,110th,1
2706,Male,Hispanic,43,9,110th,2
2709,Male,Hispanic,45,9,110th,2
2713,Male,White,33,9,l-10,1
2714,Male,White,39,9,10-Lateral,3
2716,Male,Hispanic,44,9,11th Lateral,1
2717,Male,White,33,8,111th,17
2718,Male,Hispanic,31,8,111th,1
2722,Male,Hispanic,24,8,111th,1
2730,Male,Hispanic,42,8,111th,3
2733,Male,Hispanic,41,8,111th,4
2735,Male,Hispanic,31,9,111th,5
2740,Female,Hispanic,34,8,111th,2
2741,Male,Hispanic,31,8,111th,8
2743,Male,Hispanic,40,8,111th,9
2750,Male,Hispanic,34,8,111th,1
2757,Male,Black,36,8,111th,5
2763,Male,Hispanic,62,9,111th,1
2765,Male,Hispanic,33,9,111th,4
2767,Male,Hispanic,50,8,111th,6
2773,Male,Hispanic,30,8,111th,11
2775,Male,Hispanic,37,8,111th,3
2776,Male,White,41,9,111th,1
2781,Male,Hispanic,35,9,12-Lateral,2
2784,Male,Hispanic,42,8,13th Lateral,6
2785,Male,White,37,8,L-13,3
2787,Female,Hispanic,33,8,112th,3
2791,Male,Hispanic,31,8,112th,9
2794,Male,Hispanic,46,8,112th,5
2804,Male,Hispanic,50,8,112th,1
2806,Male,Hispanic,33,8,112th,2
2809,Male,White,34,8,112th,2
2814,Male,Hispanic,33,8,112th,4
2822,Male,Hispanic,48,8,112th,3
2827,Male,Hispanic,43,6,14th Lateral,5
2838,Male,Hispanic,31,6,113th,1
2839,Male,Hispanic,36,6,113th,2
2840,Male,White,28,5,113th,7
2842,Male,Hispanic,30,5,113th,5
2845,Male,Hispanic,27,5,113th,10
2848,Male,White,30,6,113th,8
2851,Male,Hispanic,40,5,113th,1
2853,Male,Hispanic,29,5,113th,3
2854,Male,White,33,6,113th,6
2855,Male,Hispanic,32,5,16th-Lateral,6
2856,Male,White,43,5,16th - Lateral,2
2858,Male,White,32,4,114th,2
2862,Male,White,32,4,114th,10
2864,Female,Hispanic,31,5,114th,1
2865,Male,Hispanic,29,5,114th,1
2869,Male,White,29,5,114th,4
2870,Male,Hispanic,26,5,114th,3
2874,Male,Hispanic,29,4,114th,3
2876,Male,Hispanic,27,5,114th,2
2877,Male,White,35,4,114th,1
2879,Male,White,32,5,114th,1
2881,Male,Hispanic,28,4,114th,7
2882,Male,White,33,5,114th,3
2887,Male,Hispanic,33,4,115th,8
2888,Male,Hispanic,33,4,115th,8
2890,Male,Hispanic,27,4,115th,12
2891,Male,Hispanic,27,4,115th,2
2892,Male,Hispanic,34,4,115th,5
2893,Male,Hispanic,32,4,115th,5
2896,Female,Hispanic,29,4,115th,7
2902,Male,Hispanic,27,4,115th,7
2904,Female,Hispanic,32,4,115th,3
2906,Male,Hispanic,32,4,115th,2
2908,Male,Hispanic,32,4,115th,7
2910,Male,White,29,4,115th,9
2914,Male,Hispanic,29,4,115th,9
2916,Male,Hispanic,31,4,115th,6
2921,Male,White,30,4,115th,3
2923,Male,White,39,4,115th,1
2924,Male,Hispanic,33,4,115th,1
2926,Male,Hispanic,36,4,115th,3
2928,Male,White,25,3,116th,10
2929,Male,Hispanic,32,3,116th,13
2930,Male,Hispanic,25,3,116th,3
2932,Male,White,26,3,116th,6
2934,Male,Hispanic,24,3,116th,9
2935,Male,Hispanic,31,3,116th,2
2937,Male,Hispanic,33,3,116th,6
2938,Male,Hispanic,46,4,116th,1
2939,Male,White,34,3,116th,6
2940,Male,Hispanic,30,3,116th,3
2942,Male,Hispanic,31,3,116th,8
2943,Male,Hispanic,33,3,116th,3
2944,Male,Hispanic,29,3,116th,2
2945,Female,Hispanic,37,3,116th,2
2950,Male,Hispanic,26,3,116th,8
2951,Male,Hispanic,27,3,116th,8
2953,Male,Hispanic,28,3,116th,3
2954,Male,Hispanic,31,3,116th,7
2955,Male,Hispanic,26,3,116th,6
2956,Male,Hispanic,30,3,116th,10
2957,Female,White,26,3,116th,6
2961,Female,Hispanic,27,3,116th,7
2962,Male,White,33,3,116th,6
2967,Male,Hispanic,28,3,117th,5
2968,Male,White,30,3,117th,4
2971,Male,Hispanic,40,3,117th,4
2972,Male,Hispanic,38,2,117th,7
